S/N,University,Country,Official Website,Popular Courses / Degrees,Degree Levels,Typical IELTS,Typical SAT (Accepted),Country Flag URL,University Logo URL
95,University of Southern California (USC),USA,https://www.usc.edu,"Film, Business, Engineering","Bachelor’s, Master’s, PhD",7,1350–1530,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/USC_logo.svg
96,University of Florida,USA,https://www.ufl.edu,"Business, Engineering, Medicine","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/6/6f/University_of_Florida_logo.svg
97,"University of California, Irvine (UCI)",USA,https://uci.edu,"Engineering, Business, Computer Science","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/3/3b/UCI_logo.svg
98,"University of California, Davis (UC Davis)",USA,https://www.ucdavis.edu,"Agriculture, Engineering, Business","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/0/0d/UC_Davis_logo.svg
99,University of Colorado Boulder,USA,https://www.colorado.edu,"Engineering, Business, Environmental Science","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/e/e4/University_of_Colorado_Boulder_logo.svg
100,University of Connecticut,USA,https://uconn.edu,"Business, Engineering, Health Sciences","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/6/64/UConn_logo.svg
101,University of Toronto,Canada,https://www.utoronto.ca,"Engineering, Computer Science, Business, Medicine, Law","Bachelor’s, Master’s, PhD",6.5,~1250–1450 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/University_of_Toronto_coat_of_arms.svg
102,McGill University,Canada,https://www.mcgill.ca,"Medicine, Engineering, Law, Arts, Science","Bachelor’s, Master’s, PhD",6.5,~1250–1450 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/4/4c/McGill_University_Logo.svg
103,University of British Columbia (UBC),Canada,https://www.ubc.ca,"Forestry, Engineering, Business, Science","Bachelor’s, Master’s, PhD",6.5,~1200–1400 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/e/e1/University_of_British_Columbia_Logo.svg
104,McMaster University,Canada,https://www.mcmaster.ca,"Health Sciences, Engineering, Business","Bachelor’s, Master’s, PhD",6.5,~1200–1400 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/9/96/McMaster_University_Logo.svg
105,University of Alberta,Canada,https://www.ualberta.ca,"Engineering, Agriculture, Business","Bachelor’s, Master’s, PhD",6.5,~1200–1400 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/6/6e/University_of_Alberta_Logo.svg
106,Université de Montréal,Canada,https://www.umontreal.ca,"Medicine, Science, Arts, Business","Bachelor’s, Master’s, PhD",6.5,—,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Universal_de_Montreal_Logo.svg
107,University of Waterloo,Canada,https://uwaterloo.ca,"Computer Science, Engineering, Math","Bachelor’s, Master’s, PhD",6.5,~1200–1400 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/06/University_of_Waterloo_Logo.svg
108,University of Ottawa,Canada,https://www.uottawa.ca,"Law, Social Sciences, Health","Bachelor’s, Master’s, PhD",6.5,~1150–1350 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/1/15/University_of_Ottawa_logo.svg
109,University of Calgary,Canada,https://www.ucalgary.ca,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",6.5,~1150–1350 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/3/32/University_of_Calgary_Logo.svg
110,Western University,Canada,https://www.uwo.ca,"Business, Law, Medicine","Bachelor’s, Master’s, PhD",6.5,~1200–1400 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Western_University_Logo.svg
111,Queen’s University,Canada,https://www.queensu.ca,"Engineering, Business, Law","Bachelor’s, Master’s, PhD",6.5,~1200–1400 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Queens_University_Logo.svg
112,Dalhousie University,Canada,https://www.dal.ca,"Marine Science, Law, Health","Bachelor’s, Master’s, PhD",6.5,~1150–1350 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Dalhousie_University_Logo.svg
113,Simon Fraser University,Canada,https://www.sfu.ca,"Business, Environment, Science","Bachelor’s, Master’s, PhD",6.5,~1100–1300 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Simon_Fraser_University_logo.svg
114,York University,Canada,https://www.yorku.ca,"Business, Arts, Law","Bachelor’s, Master’s, PhD",6.5,~1100–1300 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/3/30/York_University_logo.svg
115,University of Victoria,Canada,https://www.uvic.ca,"Environmental Science, Law, Business","Bachelor’s, Master’s, PhD",6.5,~1100–1300 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/5/58/University_of_Victoria_Logo.svg
116,University of Manitoba,Canada,https://umanitoba.ca,"Agriculture, Health Sciences","Bachelor’s, Master’s, PhD",6.5,~1050–1250 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/7/73/University_of_Manitoba_Logo.svg
117,University of Windsor,Canada,https://www.uwindsor.ca,"Automotive, Business, Law","Bachelor’s, Master’s, PhD",6.5,~1050–1250 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/02/University_of_Windsor_logo.svg
118,Memorial University of Newfoundland,Canada,https://www.mun.ca,"Oceanography, Business, Arts","Bachelor’s, Master’s, PhD",6.5,~1050–1250 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/6/64/Memorial_University_of_Newfoundland_logo.svg
119,Concordia University,Canada,https://www.concordia.ca,"Arts, Engineering, Business","Bachelor’s, Master’s, PhD",6.5,~1050–1250 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Concordia_University_Logo.svg
120,Ontario Tech University,Canada,https://ontariotechu.ca,"Engineering, IT, Business","Bachelor’s, Master’s, PhD",6.5,~1050–1250 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Ontario_Tech_University_Logo.svg
121,University of Regina,Canada,https://www.uregina.ca,"Arts, Engineering, Business","Bachelor’s, Master’s, PhD",6.5,~1000–1200 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/University_of_Regina_logo.svg
122,Lakehead University,Canada,https://www.lakeheadu.ca,"Environmental Science, Health","Bachelor’s, Master’s, PhD",6.5,~1000–1200 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Lakehead_University_Logo.svg
123,Brock University,Canada,https://www.brocku.ca,"Business, Education, IT","Bachelor’s, Master’s, PhD",6.5,~1000–1200 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Brock_University_Logo.svg
124,St. Francis Xavier University,Canada,https://www.stfx.ca,"Business, Arts, Education","Bachelor’s, Master’s",6.5,~1000–1200 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/8/83/St._Francis_Xavier_University_Logo.svg
125,University of Northern British Columbia,Canada,https://www.unbc.ca,"Environmental Sciences, Business","Bachelor’s, Master’s",6.5,~1000–1200 (est),https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/27/UNBC_Logo.svg
126,Mount Allison University,Canada,https://www.mta.ca,"Arts, Science, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/Mount_Allison_University_Logo.svg
127,Acadia University,Canada,https://www.acadiau.ca,"Arts, Science, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Acadia_University_Logo.svg
128,University of Lethbridge,Canada,https://www.uleth.ca,"Arts, Science, Education","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/4/44/UofL_logo.svg
129,Trent University,Canada,https://www.trentu.ca,"Environmental Science, Arts, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/Trent_University_logo.svg
130,Mount Royal University,Canada,https://www.mtroyal.ca,"Business, Health, Arts","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/Mount_Royal_University_Logo.svg
131,University of Winnipeg,Canada,https://www.uwinnipeg.ca,"Arts, Science, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/UWinnipeg_Logo.svg
132,Bishop’s University,Canada,https://www.ubishops.ca,"Arts, Business, Science","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/25/Bishops_University_Logo.svg
133,University of Prince Edward Island,Canada,https://www.upei.ca,"Business, Arts, Science","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/UPEI_Logo.svg
134,Royal Roads University,Canada,https://www.royalroads.ca,"Business, Environment, Tourism","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Royal_Roads_University_logo.svg
135,University of Northern British Columbia,Canada,https://www.unbc.ca,"Environmental Science, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/27/UNBC_Logo.svg
136,Cape Breton University,Canada,https://www.cbu.ca,"Business, Arts, IT","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Cape_Breton_University_Logo.svg
137,University of New Brunswick,Canada,https://www.unb.ca,"Engineering, Arts, Science","Bachelor’s, Master’s, PhD",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/6/6a/University_of_New_Brunswick_logo.svg
138,Laurentian University,Canada,https://www.laurentian.ca,"Mining, Science, Arts","Bachelor’s, Master’s, PhD",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Laurentian_University_logo.svg
139,University of Saskatchewan,Canada,https://www.usask.ca,"Agriculture, Engineering, Medicine","Bachelor’s, Master’s, PhD",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/e/ee/University_of_Saskatchewan_Logo.svg
140,University of Guelph,Canada,https://www.uoguelph.ca,"Agriculture, Veterinary, Business","Bachelor’s, Master’s, PhD",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/8/86/U_of_Guelph_Logo.svg
141,Wilfrid Laurier University,Canada,https://www.wlu.ca,"Business, Arts, IT","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/23/Wilfrid_Laurier_University_Logo.svg
142,Ryerson University (Toronto Metropolitan University),Canada,https://www.torontomu.ca,"Engineering, Business, IT","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Toronto_Metropolitan_University_Logo.svg
143,University of Ontario Institute of Technology (Ontario Tech),Canada,https://ontariotechu.ca,"Engineering, IT, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Ontario_Tech_University_Logo.svg
144,Trent University,Canada,https://www.trentu.ca,"Arts, Environmental Science, Business","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/Trent_University_logo.svg
145,University of Calgary,Canada,https://www.ucalgary.ca,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/3/32/University_of_Calgary_Logo.svg
146,University of Quebec (UQAM),Canada,https://uqam.ca,"Arts, Business, Science","Bachelor’s, Master’s, PhD",6.5,—,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/UQAM_logo.svg
147,Bishop’s University,Canada,https://www.ubishops.ca,"Arts, Business, Science","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/2/25/Bishops_University_Logo.svg
148,Université Laval,Canada,https://www.ulaval.ca,"Engineering, Business, Health","Bachelor’s, Master’s, PhD",6.5,—,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/f/fd/ULaval_Logo.svg
149,Mount Saint Vincent University,Canada,https://www.msvu.ca,"Arts, Business, Education","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Mount_St_Vincent_University_Logo.svg
150,Kwantlen Polytechnic University,Canada,https://www.kpu.ca,"Business, Arts, IT","Bachelor’s, Master’s",6.5,1000–1200,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg,https://upload.wikimedia.org/wikipedia/commons/5/57/Kwantlen_University_Logo.svg
151,University of Oxford,United Kingdom,https://www.ox.ac.uk,"Law, Medicine, Business, Sciences","Bachelor’s, Master’s, PhD",7.0–7.5,1350–1550,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/6/63/University_of_Oxford_shield.svg
152,University of Cambridge,United Kingdom,https://www.cam.ac.uk,"Engineering, Sciences, Arts","Bachelor’s, Master’s, PhD",7.0–7.5,1350–1550,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/University_of_Cambridge_coat_of_arms.svg
153,Imperial College London,United Kingdom,https://www.imperial.ac.uk,"Engineering, Med, Business","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/9/99/Imperial_College_London_coat_of_arms.svg
154,University College London (UCL),United Kingdom,https://www.ucl.ac.uk,"Arts, Science, Engineering","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/UCL_logo.svg
155,London School of Economics and Political Science (LSE),United Kingdom,https://www.lse.ac.uk,"Economics, Social Sciences","Bachelor’s, Master’s, PhD",7,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/2/2e/LSE_logo.svg
156,University of Edinburgh,United Kingdom,https://www.ed.ac.uk,"Medicine, Law, Arts, Science","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/5/55/University_of_Edinburgh_shield.svg
157,King’s College London,United Kingdom,https://www.kcl.ac.uk,"Law, Medicine, Business","Bachelor’s, Master’s, PhD",7.0–7.5,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Kings_College_London_logo.svg
158,University of Manchester,United Kingdom,https://www.manchester.ac.uk,"Engineering, Business, Humanities","Bachelor’s, Master’s, PhD",6.0–6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/3/3e/University_of_Manchester_coat_of_arms.svg
159,University of Bristol,United Kingdom,https://www.bristol.ac.uk,"Engineering, Law, Life Sciences","Bachelor’s, Master’s, PhD",6.0–6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/3/35/University_of_Bristol_logo.svg
160,University of Warwick,United Kingdom,https://warwick.ac.uk,"Business, Maths, Arts","Bachelor’s, Master’s, PhD",6.0–6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/2/2a/University_of_Warwick_logo.svg
161,University of Glasgow,United Kingdom,https://www.gla.ac.uk,"Medicine, Engineering, Arts","Bachelor’s, Master’s, PhD",6.5–7.0,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/University_of_Glasgow_coat_of_arms.svg
162,University of Leeds,United Kingdom,https://www.leeds.ac.uk,"Business, Engineering, Health","Bachelor’s, Master’s, PhD",6.0–6.5,1150–1350,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/1/15/University_of_Leeds_logo.svg
163,Durham University,United Kingdom,https://www.dur.ac.uk,"Law, Business, Sciences","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Durham_University_shield.svg
164,University of Southampton,United Kingdom,https://www.southampton.ac.uk,"Engineering, Computer Science","Bachelor’s, Master’s, PhD",6.5,1150–1350,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/9/95/University_of_Southampton_logo.svg
165,University of Birmingham,United Kingdom,https://www.birmingham.ac.uk,"Business, Law, Medicine","Bachelor’s, Master’s, PhD",6.0–6.5,1150–1350,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/c/c9/University_of_Birmingham_logo.svg
166,Queen Mary University of London,United Kingdom,https://www.qmul.ac.uk,"Law, Medicine, Business","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/QMUL_logo.svg
167,University of Nottingham,United Kingdom,https://www.nottingham.ac.uk,"Engineering, Business","Bachelor’s, Master’s, PhD",6.5,1150–1350,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/e/ed/University_of_Nottingham_logo.svg
168,Newcastle University,United Kingdom,https://www.ncl.ac.uk,"Medicine, Engineering, Business","Bachelor’s, Master’s, PhD",6.5,1150–1350,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Newcastle_University_logo.svg
169,University of Sheffield,United Kingdom,https://www.sheffield.ac.uk,"Engineering, Health, Arts","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/3/35/University_of_Sheffield_logo.svg
170,University of Exeter,United Kingdom,https://www.exeter.ac.uk,"Business, Law, Humanities","Bachelor’s, Master’s, PhD",6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/7/75/University_of_Exeter_logo.svg
171,University of York,United Kingdom,https://www.york.ac.uk,"Social Sciences, Sciences","Bachelor’s, Master’s, PhD",6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/8/85/University_of_York_logo.svg
172,Cardiff University,United Kingdom,https://www.cardiff.ac.uk,"Business, Engineering","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Cardiff_University_logo.svg
173,University of Bath,United Kingdom,https://www.bath.ac.uk,"Engineering, Business","Bachelor’s, Master’s, PhD",6.5–7.0,1150–1350,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/e/ed/University_of_Bath_logo.svg
174,Loughborough University,United Kingdom,https://www.lboro.ac.uk,"Sports Science, Engineering","Bachelor’s, Master’s, PhD",6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Loughborough_University_logo.svg
175,University of Liverpool,United Kingdom,https://www.liverpool.ac.uk,"Medicine, Business","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/University_of_Liverpool_logo.svg
176,University of Glasgow,United Kingdom,https://www.gla.ac.uk,"Law, Medicine, Arts","Bachelor’s, Master’s, PhD",6.5–7.0,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/University_of_Glasgow_coat_of_arms.svg
177,Queen’s University Belfast,United Kingdom,https://www.qub.ac.uk,"Engineering, Business, Arts","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/3/36/Queen%27s_University_Belfast_logo.svg
178,University of Leicester,United Kingdom,https://le.ac.uk,"Medicine, Arts, Sciences","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/University_of_Leicester_logo.svg
179,University of Surrey,United Kingdom,https://www.surrey.ac.uk,"Engineering, Business","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/University_of_Surrey_logo.svg
180,University of Strathclyde,United Kingdom,https://www.strath.ac.uk,"Engineering, Business","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/b/bd/University_of_Strathclyde_logo.svg
181,Aston University,United Kingdom,https://www.aston.ac.uk,"Business, Engineering","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Aston_University_logo.svg
182,University of Kent,United Kingdom,https://www.kent.ac.uk,"Social Sciences, Arts","Bachelor’s, Master’s, PhD",6.0–6.5,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/a/a1/University_of_Kent_logo.svg
183,Bangor University,United Kingdom,https://www.bangor.ac.uk,"Marine Science, Arts","Bachelor’s, Master’s",6.0–6.5,1050–1250,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/8/82/Bangor_University_logo.svg
184,University of Hull,United Kingdom,https://www.hull.ac.uk,"Business, Law, Health","Bachelor’s, Master’s",6.0–6.5,1050–1250,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/2/2d/University_of_Hull_logo.svg
185,Cardiff Metropolitan University,United Kingdom,https://www.cardiffmet.ac.uk,"Business, Design","Bachelor’s, Master’s",6.0–6.5,1050–1250,https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Cardiff_Metropolitan_University_logo.svg
